question_E,query,question_VN
How many heads of the departments are older than 56 ?,SELECT count(*) FROM head WHERE age  >  56,Có bao nhiêu người đứng đầu các phòng ban già hơn 56?
"List the name, born state and age of the heads of departments ordered by age.","SELECT name ,  born_state ,  age FROM head ORDER BY age","Liệt kê tên, tiểu bang sinh và tuổi của người đứng đầu các bộ phận được đặt hàng theo độ tuổi."
"List the creation year, name and budget of each department.","SELECT creation ,  name ,  budget_in_billions FROM department","Liệt kê năm sáng tạo, tên và ngân sách của mỗi bộ phận."
What are the maximum and minimum budget of the departments?,"SELECT max(budget_in_billions) ,  min(budget_in_billions) FROM department",Ngân sách tối đa và tối thiểu của các phòng ban là gì?
What is the average number of employees of the departments whose rank is between 10 and 15?,SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,Số lượng nhân viên trung bình của các bộ phận có thứ hạng là từ 10 đến 15 là bao nhiêu?
What are the names of the heads who are born outside the California state?,SELECT name FROM head WHERE born_state != 'California',Tên của những người đứng đầu được sinh ra bên ngoài bang California là gì?
What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T3.born_state  =  'Alabama',Những năm sáng tạo khác biệt của các bộ phận được quản lý bởi một thư ký sinh ra ở nhà nước 'Alabama' là gì?
What are the names of the states where at least 3 heads were born?,SELECT born_state FROM head GROUP BY born_state HAVING count(*)  >=  3,Tên của các tiểu bang nơi ít nhất 3 đầu được sinh ra là gì?
In which year were most departments established?,SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1,Trong năm nào hầu hết các bộ phận được thành lập?
Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,"SELECT T1.name ,  T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id WHERE T2.temporary_acting  =  'Yes'",Hiển thị tên và số lượng nhân viên cho các bộ phận được quản lý bởi những người đứng đầu có giá trị diễn xuất tạm thời là 'có'?
How many acting statuses are there?,SELECT count(DISTINCT temporary_acting) FROM management,Có bao nhiêu trạng thái diễn xuất?
How many departments are led by heads who are not mentioned?,SELECT count(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);,Có bao nhiêu phòng ban được dẫn dắt bởi những người đứng đầu không được đề cập?
What are the distinct ages of the heads who are acting?,SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id  =  T2.head_id WHERE T2.temporary_acting  =  'Yes',Các độ tuổi khác biệt của những người đứng đầu đang hành động là gì?
List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.,SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Treasury' INTERSECT SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Homeland Security',Liệt kê các tiểu bang nơi cả Bộ trưởng Bộ Kho bạc 'và Bộ trưởng' An ninh Nội địa 'đã ra đời.
"Which department has more than 1 head at a time? List the id, name and the number of heads.","SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1","Bộ phận nào có nhiều hơn 1 đầu cùng một lúc? Liệt kê ID, tên và số lượng đầu."
Which head's name has the substring 'Ha'? List the id and name.,"SELECT head_id ,  name FROM head WHERE name LIKE '%Ha%'",Tên đầu nào có con 'ha'? Liệt kê ID và tên.
How many farms are there?,SELECT count(*) FROM farm,Có bao nhiêu trang trại?
Count the number of farms.,SELECT count(*) FROM farm,Đếm số lượng trang trại.
List the total number of horses on farms in ascending order.,SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,Liệt kê tổng số ngựa trong các trang trại theo thứ tự tăng dần.
"What is the total horses record for each farm, sorted ascending?",SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,"Tổng số hồ sơ ngựa cho mỗi trang trại, được sắp xếp tăng dần là gì?"
"What are the hosts of competitions whose theme is not ""Aliens""?",SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens',"Các chủ nhà của các cuộc thi có chủ đề không phải là ""người ngoài hành tinh"" là gì?"
Return the hosts of competitions for which the theme is not Aliens?,SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens',Trả lại các chủ nhà của các cuộc thi mà chủ đề không phải là người ngoài hành tinh?
What are the themes of farm competitions sorted by year in ascending order?,SELECT Theme FROM farm_competition ORDER BY YEAR ASC,Các chủ đề của các cuộc thi trang trại được sắp xếp theo năm theo thứ tự tăng dần là gì?
"Return the themes of farm competitions, sorted by year ascending.",SELECT Theme FROM farm_competition ORDER BY YEAR ASC,"Trả lại các chủ đề của các cuộc thi trang trại, được sắp xếp theo năm tăng dần."
What is the average number of working horses of farms with more than 5000 total number of horses?,SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000,Số lượng ngựa làm việc trung bình của các trang trại với hơn 5000 tổng số ngựa là bao nhiêu?
Give the average number of working horses on farms with more than 5000 total horses.,SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000,Cung cấp cho số lượng con ngựa làm việc trung bình trong các trang trại với hơn 5000 tổng số ngựa.
What are the maximum and minimum number of cows across all farms.,"SELECT max(Cows) ,  min(Cows) FROM farm",Số lượng bò tối đa và tối thiểu trên tất cả các trang trại là gì.
Return the maximum and minimum number of cows across all farms.,"SELECT max(Cows) ,  min(Cows) FROM farm",Trả lại số lượng bò tối đa và tối thiểu trên tất cả các trang trại.
How many different statuses do cities have?,SELECT count(DISTINCT Status) FROM city,Các thành phố có bao nhiêu trạng thái khác nhau?
Count the number of different statuses.,SELECT count(DISTINCT Status) FROM city,Đếm số lượng trạng thái khác nhau.
List official names of cities in descending order of population.,SELECT Official_Name FROM city ORDER BY Population DESC,Liệt kê tên chính thức của các thành phố theo thứ tự giảm dần dân số.
"What are the official names of cities, ordered descending by population?",SELECT Official_Name FROM city ORDER BY Population DESC,"Tên chính thức của các thành phố là gì, được đặt hàng theo dân số là gì?"
List the official name and status of the city with the largest population.,"SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1",Liệt kê tên và tình trạng chính thức của thành phố với dân số lớn nhất.
What is the official name and status of the city with the most residents?,"SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1",Tên và tình trạng chính thức của thành phố với nhiều cư dân nhất là gì?
Show the years and the official names of the host cities of competitions.,"SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID",Hiển thị những năm và tên chính thức của các thành phố của các cuộc thi.
Give the years and official names of the cities of each competition.,"SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID",Cung cấp cho các năm và tên chính thức của các thành phố của mỗi cuộc thi.
Show the official names of the cities that have hosted more than one competition.,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,Hiển thị tên chính thức của các thành phố đã tổ chức nhiều hơn một cuộc thi.
What are the official names of cities that have hosted more than one competition?,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,Tên chính thức của các thành phố đã tổ chức nhiều hơn một cuộc thi?
Show the status of the city that has hosted the greatest number of competitions.,SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1,Hiển thị tình trạng của thành phố đã tổ chức số lượng lớn nhất các cuộc thi.
What is the status of the city that has hosted the most competitions?,SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1,Tình trạng của thành phố đã tổ chức nhiều cuộc thi nhất là gì?
Please show the themes of competitions with host cities having populations larger than 1000.,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,Vui lòng hiển thị các chủ đề của các cuộc thi với các thành phố chủ nhà có dân số lớn hơn 1000.
What are the themes of competitions that have corresponding host cities with more than 1000 residents?,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,Các chủ đề của các cuộc thi có thành phố chủ tương ứng với hơn 1000 cư dân là gì?
Please show the different statuses of cities and the average population of cities with each status.,"SELECT Status ,  avg(Population) FROM city GROUP BY Status",Vui lòng hiển thị các trạng thái khác nhau của các thành phố và dân số trung bình của các thành phố với mỗi tình trạng.
What are the statuses and average populations of each city?,"SELECT Status ,  avg(Population) FROM city GROUP BY Status",Các trạng thái và dân số trung bình của mỗi thành phố là gì?
"Please show the different statuses, ordered by the number of cities that have each.",SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,"Vui lòng hiển thị các trạng thái khác nhau, được đặt hàng bởi số lượng thành phố có mỗi thành phố."
"Return the different statuses of cities, ascending by frequency.",SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,"Trả về các trạng thái khác nhau của các thành phố, tăng dần theo tần số."
List the most common type of Status across cities.,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,Liệt kê loại trạng thái phổ biến nhất trên các thành phố.
What is the most common status across all cities?,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,Tình trạng phổ biến nhất trên tất cả các thành phố là gì?
List the official names of cities that have not held any competition.,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),Liệt kê các tên chính thức của các thành phố chưa tổ chức bất kỳ cuộc thi nào.
What are the official names of cities that have not hosted a farm competition?,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),Tên chính thức của các thành phố chưa tổ chức một cuộc thi trang trại là gì?
Show the status shared by cities with population bigger than 1500 and smaller than 500.,SELECT Status FROM city WHERE Population  >  1500 INTERSECT SELECT Status FROM city WHERE Population  <  500,Hiển thị trạng thái được chia sẻ bởi các thành phố có dân số lớn hơn 1500 và nhỏ hơn 500.
Which statuses correspond to both cities that have a population over 1500 and cities that have a population lower than 500?,SELECT Status FROM city WHERE Population  >  1500 INTERSECT SELECT Status FROM city WHERE Population  <  500,Trạng thái nào tương ứng với cả hai thành phố có dân số trên 1500 và các thành phố có dân số thấp hơn 500?
Find the official names of cities with population bigger than 1500 or smaller than 500.,SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500,Tìm tên chính thức của các thành phố có dân số lớn hơn 1500 hoặc nhỏ hơn 500.
What are the official names of cities that have population over 1500 or less than 500?,SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500,Tên chính thức của các thành phố có dân số trên 1500 hoặc dưới 500 là gì?
"Show the census ranking of cities whose status are not ""Village"".","SELECT Census_Ranking FROM city WHERE Status !=  ""Village""","Hiển thị bảng xếp hạng điều tra dân số của các thành phố có địa vị không phải là ""làng""."
"What are the census rankings of cities that do not have the status ""Village""?","SELECT Census_Ranking FROM city WHERE Status !=  ""Village""","Bảng xếp hạng điều tra dân số của các thành phố không có tình trạng ""làng"" là gì?"
which course has most number of registered students?,SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count(*) DESC LIMIT 1,Khóa học nào có số lượng sinh viên đã đăng ký nhất?
What is the name of the course with the most registered students?,SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count(*) DESC LIMIT 1,Tên của khóa học với các sinh viên đã đăng ký nhiều nhất là gì?
what is id of students who registered some courses but the least number of courses in these students?,SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY count(*) LIMIT 1,ID của các sinh viên đã đăng ký một số khóa học nhưng số lượng lớn nhất các khóa học trong các sinh viên này là gì?
What are the ids of the students who registered for some courses but had the least number of courses for all students?,SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY count(*) LIMIT 1,ID ID của các sinh viên đã đăng ký một số khóa học nhưng có số lượng khóa học ít nhất cho tất cả sinh viên là gì?
what are the first name and last name of all candidates?,"SELECT T2.first_name ,  T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id",Tên và họ của tất cả các ứng cử viên là gì?
What are the first and last names of all the candidates?,"SELECT T2.first_name ,  T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id",Tên đầu tiên và cuối cùng của tất cả các ứng cử viên là gì?
List the id of students who never attends courses?,SELECT student_id FROM students WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),Liệt kê ID của các sinh viên không bao giờ tham gia các khóa học?
What are the  ids of every student who has never attended a course?,SELECT student_id FROM students WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),ID của mỗi sinh viên chưa bao giờ tham dự khóa học là gì?
List the id of students who attended some courses?,SELECT student_id FROM student_course_attendance,Liệt kê ID của các sinh viên đã tham dự một số khóa học?
What are the ids of all students who have attended at least one course?,SELECT student_id FROM student_course_attendance,ID của tất cả các sinh viên đã tham dự ít nhất một khóa học là gì?
What are the ids of all students for courses and what are the names of those courses?,"SELECT T1.student_id ,  T2.course_name FROM student_course_registrations AS T1 JOIN courses AS T2 ON T1.course_id = T2.course_id",ID của tất cả các sinh viên cho các khóa học là gì và tên của các khóa học đó là gì?
What is detail of the student who most recently registered course?,SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1,Chi tiết của học sinh mà khóa học đã đăng ký gần đây nhất là gì?
What details do we have on the students who registered for courses most recently?,SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1,Chúng tôi có chi tiết nào về các sinh viên đã đăng ký các khóa học gần đây nhất?
How many students attend course English?,"SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""English""",Có bao nhiêu sinh viên tham dự khóa học tiếng Anh?
How many students are attending English courses?,"SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""English""",Có bao nhiêu sinh viên đang theo học các khóa học tiếng Anh?
How many courses do the student whose id is 171 attend?,SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171,Học sinh có ID có bao nhiêu khóa học?
How many courses does the student with id 171 actually attend?,SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171,Học sinh với ID 171 thực sự tham dự bao nhiêu khóa học?
Find id of the candidate whose email is stanley.monahan@example.org?,"SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = ""stanley.monahan@example.org""",Tìm id của ứng cử viên có email là stanley.monahan@example.org?
What is the id of the candidate whose email is stanley.monahan@example.org?,"SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = ""stanley.monahan@example.org""",ID của ứng cử viên có email là stanley.monahan@example.org là gì?
Find id of the candidate who most recently accessed the course?,SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1,Tìm id của ứng viên gần đây nhất truy cập khóa học?
What is the id of the candidate who most recently accessed the course?,SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1,ID của ứng cử viên gần đây nhất đã truy cập khóa học là gì?
What is detail of the student who registered the most number of courses?,SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1,Chi tiết của học sinh đã đăng ký số lượng khóa học nhất là gì?
What are the details of the student who registered for the most number of courses?,SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1,Các chi tiết của học sinh đã đăng ký nhiều khóa học nhất là gì?
List the id of students who registered some courses and the number of their registered courses?,"SELECT T1.student_id ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id",Liệt kê ID của các sinh viên đã đăng ký một số khóa học và số lượng khóa học đã đăng ký của họ?
"For every student who is registered for some course, how many courses are they registered for?","SELECT T1.student_id ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id","Đối với mỗi sinh viên đã đăng ký một số khóa học, họ đã đăng ký bao nhiêu khóa học?"
How many registed students do each course have? List course name and the number of their registered students?,"SELECT T3.course_name ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id",Mỗi khóa học có bao nhiêu sinh viên đăng ký? Liệt kê tên khóa học và số lượng sinh viên đã đăng ký của họ?
"For each course id, how many students are registered and what are the course names?","SELECT T3.course_name ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id","Đối với mỗi ID khóa học, có bao nhiêu sinh viên được đăng ký và tên khóa học là gì?"
"Find id of candidates whose assessment code is ""Pass""?","SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = ""Pass""","Tìm ID của các ứng cử viên có mã đánh giá là ""Pass""?"
What are the ids of the candidates that have an outcome code of Pass?,"SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = ""Pass""",ID của các ứng cử viên có mã kết quả là gì?
"Find the cell mobile number of the candidates whose assessment code is ""Fail""?","SELECT T3.cell_mobile_number FROM candidates AS T1 JOIN candidate_assessments AS T2 ON T1.candidate_id = T2.candidate_id JOIN people AS T3 ON T1.candidate_id = T3.person_id WHERE T2.asessment_outcome_code = ""Fail""","Tìm số di động di động của các ứng cử viên có mã đánh giá là ""thất bại""?"
"What are the cell phone numbers of the candidates that received an assessment code of ""Fail""?","SELECT T3.cell_mobile_number FROM candidates AS T1 JOIN candidate_assessments AS T2 ON T1.candidate_id = T2.candidate_id JOIN people AS T3 ON T1.candidate_id = T3.person_id WHERE T2.asessment_outcome_code = ""Fail""","Số điện thoại di động của các ứng cử viên nhận được mã đánh giá ""Fail"" là gì?"
What are the id of students who registered course 301?,SELECT student_id FROM student_course_attendance WHERE course_id  =  301,ID của học sinh đã đăng ký khóa học 301 là gì?
